dsa,dbms,os,cn,oops,system_design,aptitude,web_dev,overall_accuracy,attempts,improvement_rate,learning_velocity,consistency_score,weak_topic_count,readiness_score,readiness_category
60.2,86.2,62.9,74.5,56.8,43.2,73.0,62.8,65.0,4,7.5,11.0,61.2,2,74.8,1
50.6,72.0,45.2,21.9,53.3,25.8,39.1,42.3,43.8,1,-2.2,13.5,52.5,7,41.6,0
49.2,54.2,63.2,56.3,45.6,37.5,55.2,50.5,51.5,1,-4.1,11.7,76.9,7,51.3,0
62.4,59.3,58.8,83.5,74.8,62.7,82.1,77.2,70.1,1,-4.3,12.7,68.9,2,76.2,1
49.5,49.0,70.5,61.5,56.7,42.3,51.2,38.9,52.4,1,-2.0,14.2,69.3,6,51.6,0
57.0,79.3,50.6,44.6,80.8,89.0,63.5,60.0,65.6,1,-5.0,12.0,52.8,3,72.9,1
26.7,74.3,73.3,60.5,54.9,59.8,49.1,49.4,56.0,1,-4.3,12.2,54.5,5,51.5,0
35.0,44.9,61.1,41.5,35.3,34.0,56.7,48.3,44.6,3,-0.7,8.6,69.4,7,41.5,0
67.1,73.6,54.8,41.8,46.2,31.5,56.6,33.0,50.6,2,-1.7,10.4,54.4,6,57.4,0
61.1,42.7,55.3,52.9,48.5,38.1,65.2,57.8,52.7,3,2.3,9.6,72.5,6,55.2,0
93.0,85.2,69.6,85.9,70.4,74.5,63.0,77.0,77.3,4,7.1,11.3,70.0,0,94.9,2
57.7,60.9,36.2,65.0,60.1,67.6,38.5,45.7,54.0,4,7.5,10.1,63.7,4,61.6,1
49.4,46.2,81.7,58.1,50.1,55.9,62.6,70.6,59.3,4,7.3,10.7,64.1,5,60.1,1
31.5,52.2,39.8,49.6,56.4,37.5,52.8,52.5,46.5,2,2.6,12.5,73.1,8,39.2,0
54.3,92.2,82.9,96.8,71.8,54.0,83.7,81.6,77.2,6,11.1,10.1,52.1,2,81.6,2
23.4,26.3,45.2,60.5,44.1,32.6,31.1,31.3,36.8,9,25.9,8.6,63.2,7,36.1,0
40.9,30.0,50.4,56.0,45.5,50.0,43.6,41.8,44.8,2,-1.1,10.0,76.6,8,39.8,0
53.2,71.6,72.0,60.8,67.5,33.2,67.6,75.3,62.6,1,-4.2,12.6,58.7,2,64.3,1
61.8,59.2,64.7,57.4,63.6,51.6,67.9,63.2,61.2,8,22.1,9.8,84.9,3,71.5,1
51.8,42.0,57.4,43.5,56.8,25.1,38.8,65.4,47.6,9,12.0,6.7,61.7,7,46.4,0
58.7,65.2,67.7,73.6,64.2,38.4,61.0,65.9,61.8,1,-0.1,15.0,68.7,2,71.6,1
36.1,35.1,51.9,42.6,33.8,70.3,59.7,60.3,48.7,1,-0.7,15.0,58.7,6,45.5,0
64.6,53.9,32.0,53.6,60.5,55.3,64.2,47.0,53.9,6,9.5,8.3,68.1,5,58.8,0
47.8,66.4,51.7,53.2,45.2,33.9,41.6,51.8,49.0,2,1.0,11.6,71.5,7,50.0,0
94.1,63.7,82.3,75.4,96.7,60.8,74.6,75.0,77.8,9,30.2,11.2,61.6,0,94.0,2
64.2,54.9,49.5,50.0,57.4,51.8,60.4,57.7,55.7,1,-1.2,15.0,84.5,6,57.6,0
65.6,66.5,60.5,67.1,60.2,41.0,70.3,55.9,60.9,7,15.4,9.6,72.2,2,71.5,1
44.3,88.4,61.0,79.7,63.7,42.3,40.2,63.7,60.4,1,-3.6,12.7,47.3,3,61.0,1
50.1,68.5,73.3,50.1,63.2,60.2,52.5,60.8,59.8,2,-0.4,11.1,74.4,3,63.4,1
21.9,41.3,27.6,46.1,45.4,28.5,35.1,59.0,38.1,13,23.4,6.6,63.5,8,31.8,0
58.8,75.9,83.3,50.2,69.5,73.2,73.0,74.5,69.8,1,-3.8,13.4,68.6,2,78.8,2
47.5,53.6,35.4,44.1,27.6,26.9,20.0,27.5,35.3,1,-1.3,13.9,64.5,8,32.9,0
74.3,68.2,68.4,79.6,71.1,52.6,99.6,77.3,73.9,7,9.3,8.9,60.3,1,80.3,2
51.3,64.2,45.3,58.6,41.6,67.0,32.2,65.7,53.2,1,-0.6,15.0,61.8,5,53.0,0
55.4,52.9,55.9,73.9,85.2,27.5,70.1,38.7,57.4,1,-5.0,11.8,43.7,5,57.4,0
43.1,59.4,54.2,45.6,38.0,67.7,35.3,48.1,48.9,2,1.7,12.0,67.2,7,49.6,0
37.2,22.7,22.8,42.4,21.5,35.4,20.0,33.0,29.4,4,5.7,8.3,74.3,8,30.6,0
55.0,56.7,62.0,42.8,60.6,50.1,55.3,56.3,54.8,5,5.6,8.4,81.8,6,59.2,0
31.9,43.6,33.2,66.4,46.6,35.0,53.4,42.3,44.0,8,14.7,7.9,65.2,7,42.2,0
60.7,57.5,57.2,52.6,43.0,38.1,38.2,34.4,47.7,3,7.1,12.0,68.8,7,51.6,0
47.7,27.3,33.9,29.2,26.2,27.2,20.0,28.1,30.0,2,2.0,11.2,75.7,8,29.0,0
72.3,90.9,47.6,47.7,60.5,61.7,54.6,51.5,60.8,2,-1.9,10.7,56.0,4,69.7,1
88.6,93.9,94.7,62.4,75.5,55.9,81.6,85.4,79.8,7,22.7,11.9,57.3,1,91.5,2
98.2,69.4,86.0,86.7,87.5,75.3,74.9,83.5,82.7,5,4.9,9.7,72.7,0,99.2,2
38.3,61.4,67.3,49.5,48.2,55.6,72.0,76.3,58.6,9,11.1,7.2,61.0,4,60.0,1
65.9,53.3,58.1,58.3,54.9,34.8,32.4,20.7,47.3,12,16.8,6.2,52.5,7,48.4,0
84.8,67.3,82.4,74.9,72.6,95.2,78.4,67.2,77.8,2,1.7,13.2,71.6,0,89.7,2
58.3,67.1,51.2,35.0,47.1,45.0,68.6,61.6,54.2,3,0.3,9.1,65.0,5,56.2,0
61.0,75.6,70.9,72.7,59.7,31.1,64.3,76.2,63.9,4,10.0,11.7,55.9,2,70.6,1
30.5,47.1,25.3,46.0,58.7,27.5,29.1,56.3,40.1,1,-0.6,14.9,59.5,8,31.8,0
36.7,53.2,46.3,42.1,49.4,46.3,44.9,29.9,43.6,1,-3.4,12.1,78.0,8,40.9,0
63.4,32.7,78.7,72.3,60.8,41.7,56.5,52.4,57.3,8,22.3,10.0,54.7,4,64.6,1
52.0,81.0,56.3,47.1,59.5,44.2,65.9,38.3,55.5,3,2.1,10.5,59.5,6,59.9,0
55.9,67.7,67.7,42.8,62.8,70.2,73.4,57.4,62.2,3,6.2,12.0,70.3,3,70.4,1
51.4,54.5,86.3,69.8,66.0,60.8,67.3,79.4,66.9,3,0.2,9.7,64.7,2,74.2,1
64.0,72.2,76.2,46.3,86.4,52.7,75.0,68.5,67.7,5,5.7,9.2,60.9,2,72.6,1
38.4,33.6,67.0,47.6,54.6,10.0,48.7,61.8,45.2,1,-5.0,11.3,46.0,6,42.0,0
50.9,60.8,48.8,80.9,85.5,69.6,66.8,74.8,67.3,4,2.8,9.4,60.3,2,69.8,1
70.2,79.0,54.3,64.6,68.3,59.1,78.5,62.1,67.0,3,2.7,10.8,73.7,2,77.3,1
47.3,55.4,71.5,37.3,44.3,66.7,56.4,25.3,50.5,8,12.2,7.8,54.5,6,51.4,0
70.5,76.1,86.7,77.9,100.0,52.6,80.7,91.9,79.6,3,3.6,11.7,57.0,1,87.3,2
23.4,33.6,38.4,28.6,20.0,22.7,40.9,37.3,30.6,10,26.6,8.0,76.0,8,25.2,0
77.3,45.4,42.1,37.2,25.4,44.1,61.3,30.2,45.4,2,2.3,12.2,49.6,6,46.9,0
73.7,78.1,69.2,100.0,46.0,76.8,56.0,70.7,71.3,12,28.1,8.9,52.2,2,80.3,2
88.9,73.8,99.7,86.6,100.0,75.1,77.0,82.0,85.4,8,20.5,10.6,68.9,0,97.9,2
44.4,59.6,52.7,51.0,75.4,38.1,69.0,69.8,57.5,4,3.4,8.9,60.5,5,55.4,0
63.4,45.9,65.7,69.7,59.2,69.4,78.1,63.2,64.3,2,1.1,12.1,72.0,2,70.8,1
37.6,50.2,49.3,38.6,45.2,31.8,37.9,46.8,42.2,2,3.6,12.8,80.2,8,40.9,0
58.4,65.1,59.1,60.9,70.6,63.0,71.8,70.0,64.9,6,14.8,10.6,83.9,2,74.8,1
85.2,62.6,54.6,66.3,44.7,65.9,66.6,52.8,62.3,4,0.4,8.2,63.7,3,75.3,1
74.0,64.0,84.8,73.7,82.0,81.7,70.7,75.0,75.7,2,-1.0,11.3,79.5,0,88.5,2
65.8,58.1,66.2,72.1,73.2,58.3,63.0,59.3,64.5,4,2.5,8.9,82.2,3,73.9,1
53.0,54.5,56.0,83.3,52.7,93.9,79.5,53.2,65.8,5,8.6,9.9,49.4,5,69.3,1
40.1,60.2,51.7,71.7,59.0,48.2,38.2,47.7,52.1,1,-1.2,14.8,66.6,6,49.0,0
55.3,63.3,44.1,67.9,55.6,54.1,50.2,42.5,54.1,1,-3.4,12.8,74.0,6,54.9,0
55.6,48.8,74.9,75.2,60.7,47.1,69.9,75.2,63.4,1,-3.0,13.5,64.2,3,67.4,1
66.4,53.6,55.9,75.0,52.7,57.2,55.0,82.9,62.3,1,-3.6,12.8,66.2,5,59.5,0
53.5,47.2,43.1,56.2,44.7,44.7,48.6,59.8,49.7,2,0.2,11.0,81.8,8,48.9,0
43.4,37.7,53.5,23.9,37.9,52.8,53.8,47.8,43.8,6,10.8,8.4,68.8,8,41.5,0
45.2,34.7,16.3,44.2,46.5,37.9,51.3,35.4,38.9,2,3.5,12.5,67.6,8,35.7,0
42.0,59.2,40.2,59.7,40.0,28.2,42.7,37.0,43.6,1,-0.4,14.8,67.8,8,39.7,0
41.0,41.6,51.6,42.2,45.0,49.6,67.0,40.0,47.2,3,3.1,10.3,73.0,7,50.0,0
60.5,38.4,59.1,58.0,63.0,46.7,65.4,86.2,59.7,15,31.4,7.9,58.1,4,59.2,0
35.6,29.4,28.7,35.8,33.3,38.3,31.0,22.6,31.8,2,2.3,11.7,85.0,8,29.4,0
51.8,38.8,33.1,45.2,39.4,28.7,25.5,31.2,36.7,12,39.4,9.2,73.6,8,35.6,0
51.0,44.4,52.1,42.5,55.6,23.6,38.8,46.4,44.3,1,-2.3,13.5,70.1,8,40.0,0
34.3,45.8,29.9,43.9,38.9,21.1,41.5,40.5,37.0,1,-0.1,15.0,75.4,8,32.0,0
51.2,30.1,42.5,48.4,34.5,19.1,40.1,47.6,39.2,5,4.7,7.5,67.6,8,36.4,0
50.1,34.2,39.5,21.1,32.5,33.4,48.3,38.0,37.1,3,2.9,10.0,72.3,8,36.2,0
61.9,37.6,38.3,46.2,43.8,27.0,62.1,20.1,42.1,6,8.0,7.7,55.3,6,46.2,0
71.2,63.6,71.7,64.8,82.8,62.2,78.9,67.1,70.3,7,10.2,8.7,77.8,0,82.0,2
23.9,61.6,31.5,16.6,35.8,27.2,44.5,35.3,34.6,2,0.7,10.9,58.7,7,36.6,0
68.6,72.8,69.7,62.7,49.9,55.9,73.5,51.8,63.1,4,7.6,10.5,71.6,3,73.7,1
14.6,15.0,21.8,29.2,20.0,24.9,20.0,19.8,20.7,4,6.0,8.3,85.6,8,19.4,0
57.3,33.8,66.5,56.9,37.0,43.5,49.4,49.8,49.3,7,11.2,8.2,67.2,7,50.6,0
74.4,71.8,62.1,79.6,84.1,81.6,85.7,55.9,74.4,2,2.5,13.7,68.0,1,83.5,2
20.5,43.5,15.0,27.9,25.6,10.0,24.3,39.0,25.7,1,-3.4,11.1,66.3,8,20.3,0
49.8,60.5,32.1,43.4,60.0,60.4,52.0,69.1,53.4,3,-0.7,8.6,65.0,4,56.3,0
48.9,69.1,62.0,77.8,71.5,63.4,69.3,85.2,68.4,12,32.7,9.6,67.5,1,76.4,1
54.7,62.6,63.3,78.3,59.0,54.0,66.2,52.4,61.3,1,-1.0,15.0,74.7,4,64.1,1
43.3,43.9,32.3,18.7,27.4,42.8,28.8,35.9,34.1,1,-0.6,14.1,72.9,8,35.0,0
54.5,52.8,58.2,62.2,44.9,52.0,49.9,44.8,52.4,2,-1.6,10.1,81.9,7,53.4,0
74.2,71.7,59.1,48.8,47.6,30.8,49.0,45.9,53.4,6,9.7,8.5,57.0,6,58.1,0
19.5,15.4,47.0,42.7,28.5,33.9,37.4,21.8,30.8,2,1.4,11.1,65.9,8,22.8,0
40.7,47.5,31.3,45.1,52.7,41.9,48.8,72.6,47.6,1,-3.2,12.3,64.1,7,39.6,0
63.6,44.8,50.4,48.7,70.3,58.5,44.5,47.0,53.5,4,7.3,10.1,71.4,6,55.7,0
50.0,62.5,44.7,64.5,48.5,58.9,66.6,45.9,55.2,1,-5.0,11.4,73.4,5,61.1,1
43.7,53.7,54.9,46.5,48.3,53.5,37.4,51.6,48.7,1,-4.3,11.7,82.0,8,50.0,0
32.8,43.8,59.2,52.8,39.1,26.5,41.5,46.4,42.8,2,0.3,10.7,68.7,8,39.8,0
17.6,36.1,15.0,42.6,20.0,17.9,28.1,22.6,25.0,2,-0.9,9.3,70.5,8,20.5,0
63.2,73.3,65.1,50.5,57.8,47.2,56.8,60.0,59.2,2,-0.2,11.3,75.3,4,66.0,1
36.7,80.6,70.5,56.5,61.9,29.4,59.5,70.2,58.2,1,-3.9,12.5,48.1,4,58.7,0
89.5,70.6,58.2,64.6,69.2,80.1,68.7,58.0,69.9,2,-1.4,11.2,68.1,2,85.9,2
15.4,23.2,33.9,35.0,33.9,10.0,21.6,30.3,25.4,6,8.9,7.2,71.9,8,17.9,0
16.6,30.2,38.5,61.0,42.6,41.4,42.4,35.1,38.5,2,-1.3,10.0,62.4,7,34.3,0
63.8,69.7,62.0,42.4,35.6,52.4,59.6,54.6,55.0,4,5.4,10.1,66.0,5,60.1,1
62.2,76.7,61.3,48.2,57.4,56.1,79.3,87.5,66.1,1,-4.8,12.1,59.5,3,70.5,1
75.9,63.6,74.1,76.0,92.5,78.9,58.6,76.4,74.5,1,-3.7,13.6,69.6,1,83.7,2
27.4,38.6,39.4,29.6,29.7,10.6,22.0,15.0,26.5,8,24.4,8.8,69.2,8,24.1,0
73.6,65.6,64.3,53.6,37.6,65.1,48.0,64.4,59.0,2,0.8,12.3,65.0,3,68.6,1
80.6,47.6,52.9,63.2,45.6,60.4,50.7,45.9,55.9,2,2.8,13.3,64.3,5,61.1,1
67.8,67.2,75.7,65.6,83.5,56.9,71.8,73.0,70.2,8,15.9,9.5,76.5,1,81.6,2
40.5,22.9,15.0,28.3,26.2,40.9,44.6,24.2,30.3,5,6.0,7.5,68.7,8,29.4,0
54.2,37.1,36.5,63.9,20.0,60.1,57.7,52.4,47.7,5,6.1,8.2,54.9,6,52.0,0
33.7,72.6,79.8,61.0,76.3,86.7,67.3,88.5,70.7,4,2.4,9.1,47.4,1,74.6,1
51.9,72.4,59.8,57.5,69.4,51.5,63.5,59.8,60.7,1,-1.6,14.7,77.5,5,62.1,1
35.6,71.1,45.6,53.9,43.2,48.3,62.0,43.7,50.4,12,39.9,9.8,65.7,6,54.9,0
72.1,59.9,68.2,80.9,79.5,63.0,79.3,67.7,71.3,9,16.9,8.6,76.1,1,81.1,2
28.6,30.6,35.2,27.3,20.0,31.5,20.0,43.7,29.6,1,-3.5,11.3,76.7,8,26.4,0
36.5,27.1,49.6,27.7,26.7,53.5,38.9,39.5,37.4,6,13.7,8.7,69.4,8,37.1,0
54.1,59.1,52.3,66.0,53.3,58.4,49.1,56.2,56.1,2,-0.4,11.2,84.5,7,57.8,0
51.7,39.1,49.1,65.7,35.6,55.6,51.0,29.6,47.2,5,9.3,9.6,64.9,7,47.9,0
64.1,53.0,61.2,79.4,68.8,42.1,71.5,63.7,63.0,1,-2.4,14.1,65.7,2,69.5,1
51.1,66.0,68.3,56.3,61.5,78.6,50.1,65.4,62.2,3,0.1,9.2,71.5,3,69.4,1
53.8,29.7,45.8,52.4,40.4,33.1,41.3,56.5,44.1,1,-2.7,12.9,70.7,8,38.7,0
60.9,81.1,98.7,83.4,81.0,28.4,58.6,89.1,72.6,3,2.2,11.0,33.1,2,73.2,1
41.2,44.5,49.0,54.2,35.1,13.4,55.7,42.9,42.0,1,-0.3,15.0,59.9,8,35.8,0
50.5,29.3,70.6,67.5,56.4,48.4,40.7,44.6,51.0,3,5.1,11.1,59.0,6,55.7,0
77.1,53.9,69.3,88.6,84.8,54.7,75.0,79.3,72.8,4,5.4,10.9,61.5,2,78.7,2
18.5,50.0,16.6,59.1,25.6,29.4,45.3,41.4,35.7,8,9.6,6.2,53.6,8,29.6,0
57.2,31.3,49.9,64.0,55.4,24.5,44.6,48.1,46.9,1,-2.6,13.3,60.3,7,43.5,0
53.6,60.8,73.9,35.9,52.0,58.2,69.0,66.8,58.8,8,26.7,11.0,64.3,4,62.6,1
39.4,54.9,44.2,45.7,61.1,52.2,61.1,45.4,50.5,2,2.3,12.5,75.8,6,52.5,0
41.1,30.4,36.6,24.0,49.0,41.2,52.7,35.4,38.8,7,9.6,7.3,72.0,8,34.0,0
47.4,53.2,70.3,50.5,62.2,42.2,56.6,71.6,56.8,3,-1.4,8.6,68.3,5,59.0,0
45.0,52.3,54.5,42.3,41.4,53.0,41.6,49.8,47.5,7,12.6,8.1,83.5,8,44.8,0
66.0,74.2,59.9,81.2,78.3,57.0,62.5,79.0,69.8,4,8.2,11.4,71.5,2,76.6,1
18.3,21.7,16.1,22.1,37.2,19.5,20.0,23.3,22.3,3,4.9,9.9,80.7,8,21.6,0
53.9,63.6,69.6,78.5,76.3,46.3,68.6,69.6,65.8,2,2.4,13.0,67.3,2,72.4,1
58.8,47.2,27.8,39.7,41.9,38.2,54.1,34.6,42.8,13,37.7,8.7,69.5,8,46.0,0
64.4,50.4,72.7,56.7,68.5,79.7,65.7,49.2,63.4,6,12.7,9.7,68.0,3,71.5,1
45.8,80.4,74.0,50.2,80.6,59.0,39.1,77.5,63.3,2,-1.6,10.9,49.5,4,60.6,1
53.7,47.0,16.5,63.8,41.2,20.9,41.7,42.9,41.0,1,-4.6,11.2,53.0,7,39.1,0
63.8,38.5,57.7,78.8,72.0,38.0,64.8,54.8,58.6,6,13.9,9.9,56.2,4,61.3,1
31.7,34.2,15.0,27.7,28.5,19.8,38.8,16.4,26.5,15,35.8,6.7,74.1,8,31.7,0
42.8,27.4,19.1,15.7,22.6,17.8,35.1,42.8,27.9,2,-1.1,9.6,67.0,8,26.2,0
64.8,62.3,58.0,62.0,57.8,70.9,67.6,86.9,66.3,9,16.6,8.5,71.7,2,72.5,1
59.8,53.8,37.4,56.5,38.4,27.0,46.3,60.0,47.4,1,-0.6,15.0,63.6,7,45.3,0
69.8,67.2,100.0,66.4,75.2,65.5,80.7,69.5,74.3,11,21.5,8.8,65.4,0,88.3,2
69.8,80.6,69.8,90.7,58.4,67.4,58.2,76.4,71.4,5,12.2,10.7,67.1,2,83.2,2
49.1,31.6,63.5,71.8,48.9,32.8,39.7,51.4,48.6,2,2.4,12.4,57.9,6,46.5,0
34.1,52.7,49.3,29.2,64.7,51.4,39.7,45.8,45.9,2,-0.6,10.8,66.1,7,43.6,0
63.1,56.2,51.3,36.9,50.9,44.7,41.8,66.3,51.4,4,8.2,10.5,69.4,6,55.7,0
44.7,48.2,65.8,53.8,44.1,40.9,49.9,44.6,49.0,4,7.2,9.9,76.4,7,47.2,0
32.3,35.4,42.0,24.1,34.2,39.1,21.7,19.2,31.0,9,15.7,7.0,74.9,8,31.4,0
58.5,60.6,70.7,66.3,45.6,30.9,61.9,59.9,56.8,6,8.4,8.8,61.9,4,61.4,1
59.2,55.7,52.3,63.9,70.8,73.6,77.8,70.0,65.4,3,1.5,10.2,72.8,3,72.7,1
77.2,65.9,62.3,73.2,73.1,39.7,61.5,65.4,64.8,10,22.6,9.4,65.3,1,77.6,1
45.0,70.8,59.9,70.8,58.0,66.6,62.2,34.5,58.5,4,6.6,10.2,61.8,4,60.8,1
52.3,66.9,74.7,94.2,69.3,69.4,77.9,88.4,74.1,7,14.5,9.7,60.9,1,81.4,2
36.8,74.5,38.0,56.1,51.3,51.0,47.2,85.9,55.1,7,9.8,7.7,48.8,6,49.7,0
55.9,60.1,55.9,36.8,38.7,68.5,58.2,46.0,52.5,9,13.4,7.3,67.0,6,59.4,0
72.8,46.0,59.0,75.9,74.9,83.1,74.4,66.8,69.1,1,-3.3,13.8,65.0,2,80.0,2
81.7,78.8,67.8,60.6,62.6,72.3,77.6,52.0,69.2,4,5.3,10.3,69.1,1,81.5,2
66.2,67.2,49.1,92.8,67.6,55.6,57.5,56.9,64.1,3,1.4,10.3,60.1,4,67.5,1
40.1,16.8,47.4,41.9,20.5,22.0,48.7,15.0,31.6,3,0.7,8.2,57.2,8,23.6,0
50.1,73.9,54.6,64.3,63.6,63.9,73.7,42.9,60.9,3,2.2,10.3,67.2,3,69.5,1
66.2,67.3,62.2,79.4,71.9,70.0,50.5,71.1,67.3,7,9.1,8.5,74.7,1,77.5,1
65.6,60.6,51.2,65.0,52.8,62.6,78.3,46.4,60.3,2,-0.2,11.7,69.8,3,69.1,1
64.3,71.1,50.6,82.4,75.9,58.1,61.5,48.3,64.0,3,0.6,9.9,64.3,3,70.5,1
70.7,86.8,77.8,65.5,68.7,59.8,89.4,75.7,74.3,1,-2.0,14.9,69.4,1,79.7,2
26.5,40.0,50.1,51.8,34.0,13.7,47.1,30.4,36.7,2,1.5,11.4,60.7,8,31.8,0
31.6,52.5,61.8,72.6,59.1,54.3,40.4,55.3,53.4,4,6.4,9.9,62.1,6,54.3,0
82.1,67.4,90.2,63.2,85.5,63.8,81.8,70.0,75.5,1,-4.0,13.2,68.3,0,86.7,2
73.0,80.0,87.1,71.1,62.4,56.1,61.0,64.4,69.4,1,-3.9,12.9,68.7,1,77.2,1
14.7,25.8,35.5,31.0,23.9,10.0,27.0,32.8,25.1,3,5.8,10.2,73.6,8,20.7,0
27.5,22.8,18.8,15.0,30.5,22.1,23.0,17.7,22.2,1,-4.4,10.4,84.8,8,22.2,0
45.9,45.5,50.4,31.5,61.0,23.7,41.1,56.9,44.5,1,-3.0,12.8,62.9,7,40.7,0
71.7,70.9,31.2,47.2,59.7,46.1,46.0,53.5,53.3,7,8.8,7.9,58.9,6,55.2,0
29.3,43.7,53.3,46.0,50.3,51.4,47.7,35.7,44.7,7,10.3,7.6,75.2,8,45.4,0
49.4,63.6,53.0,57.6,42.2,46.4,56.1,38.4,50.8,2,-0.4,10.9,74.9,7,48.4,0
40.6,39.6,63.0,40.2,28.5,37.1,41.9,23.9,39.3,2,1.0,11.4,65.5,7,43.8,0
58.2,65.4,47.3,82.1,62.2,40.0,49.3,41.5,55.8,10,14.4,7.2,57.7,5,59.0,0
41.5,27.7,31.2,39.9,20.0,13.3,20.0,15.0,26.1,1,-3.2,11.5,67.6,8,26.7,0
65.4,57.2,54.2,72.7,57.9,81.8,57.1,54.8,62.6,4,3.5,9.6,70.3,5,68.4,1
64.5,55.9,54.3,50.9,62.4,60.6,63.8,65.7,59.8,4,9.5,11.2,83.8,3,67.1,1
61.7,40.3,43.4,64.6,62.3,50.2,43.0,63.3,53.6,6,5.9,8.1,68.8,4,61.2,1
40.5,21.6,45.6,45.1,30.6,23.5,36.9,24.2,33.5,11,19.7,6.3,70.5,8,32.9,0
58.3,33.3,62.3,62.6,36.9,47.5,49.1,41.4,48.9,2,2.0,12.3,66.0,6,50.6,0
72.6,99.1,69.8,87.6,67.7,74.3,83.4,75.1,78.7,3,4.4,12.1,68.3,0,92.7,2
45.9,34.9,54.2,48.0,67.5,45.0,57.5,51.5,50.6,4,6.3,9.8,71.1,7,48.9,0
74.1,97.5,68.0,61.3,61.9,36.0,70.7,54.7,65.5,12,19.6,7.8,47.6,2,71.2,1
48.4,63.2,48.9,38.5,54.7,49.8,53.2,62.1,52.4,8,21.2,9.7,76.1,6,52.1,0
43.6,37.3,43.6,50.2,44.2,35.7,52.6,38.1,43.2,4,4.2,8.6,81.9,8,41.3,0
79.9,93.3,77.2,62.9,73.6,100.0,68.8,87.0,80.3,7,7.2,8.7,62.6,0,93.5,2
68.0,57.4,74.9,63.5,77.4,94.3,77.6,63.1,72.0,1,-3.3,13.3,65.2,1,81.0,2
77.6,64.4,75.6,73.0,79.8,79.8,70.0,61.9,72.8,2,2.8,14.2,79.6,0,86.1,2
30.2,41.2,68.2,43.6,36.7,25.1,35.4,54.9,41.9,1,-0.4,14.7,58.4,7,34.0,0
46.0,42.5,33.2,50.6,44.1,39.0,47.0,33.6,42.0,1,-3.6,11.6,81.2,8,37.8,0
68.4,80.4,66.3,83.1,74.9,34.6,89.0,61.0,69.7,4,2.2,9.0,49.2,1,75.9,1
60.6,67.7,67.3,70.7,81.2,47.2,64.0,68.2,65.9,8,14.9,8.6,71.2,1,77.2,1
58.8,49.2,63.9,44.8,49.8,25.2,40.9,40.1,46.6,4,3.0,8.8,64.2,7,45.3,0
47.1,83.2,67.4,66.7,89.3,67.5,76.9,48.1,68.3,4,5.8,10.4,54.8,2,77.2,1
73.8,63.0,55.2,38.7,55.6,26.6,48.9,55.8,52.2,1,-0.5,15.0,56.7,6,51.7,0
38.6,43.1,41.6,32.1,55.8,30.4,27.9,52.9,40.3,4,7.6,9.7,69.4,8,39.9,0
12.8,51.5,28.1,45.0,46.8,32.0,38.6,40.7,36.9,3,3.8,9.9,62.9,8,30.2,0
74.1,84.8,46.9,47.5,53.7,52.9,47.5,69.5,59.6,4,6.7,10.4,56.5,5,64.7,1
28.2,33.1,46.7,33.7,29.5,26.8,39.3,22.9,32.5,2,0.2,10.6,77.3,8,29.7,0
87.3,65.4,91.9,60.1,56.9,71.3,67.0,70.0,71.2,4,8.1,11.6,63.0,1,85.4,2
66.8,59.9,45.2,73.9,45.5,40.6,46.7,57.3,54.5,2,0.6,12.2,64.5,6,57.1,0
50.0,54.7,50.8,63.9,62.9,85.7,53.5,80.9,62.8,3,2.5,10.9,59.0,4,65.6,1
79.1,83.0,57.5,46.4,88.8,53.2,71.4,81.4,70.1,1,-2.0,15.0,52.9,3,74.9,1
62.6,43.7,69.4,82.1,55.7,54.4,66.3,72.8,63.4,2,-1.1,10.9,64.0,3,66.4,1
58.9,60.6,56.1,60.0,38.9,49.1,58.1,38.3,52.5,2,-0.4,10.6,72.2,6,58.0,0
40.7,29.0,24.0,15.0,42.1,40.5,48.8,21.8,32.7,5,7.8,8.2,64.3,8,32.1,0
42.5,73.5,83.8,67.6,49.1,62.1,43.1,73.5,61.9,5,5.9,8.7,53.7,3,65.9,1
49.4,15.0,33.8,59.5,56.4,11.3,35.3,38.5,37.4,9,28.7,9.4,47.0,8,35.1,0
33.3,35.9,56.6,38.1,36.3,21.5,32.4,51.9,38.2,4,11.2,11.0,66.6,8,33.5,0
56.5,23.5,46.7,40.2,45.8,34.1,34.8,36.0,39.7,2,0.0,10.5,70.1,8,43.7,0
60.3,80.4,52.6,60.5,62.9,64.3,79.8,90.9,69.0,6,8.7,8.9,60.8,1,79.8,2
46.3,68.7,44.2,57.0,49.5,61.3,51.0,63.4,55.2,3,4.8,11.0,73.7,5,57.3,0
43.1,28.5,42.7,67.4,64.7,40.1,62.3,51.3,50.0,1,-3.2,12.9,58.7,5,52.7,0
31.9,49.3,22.8,24.7,40.8,21.4,60.2,39.0,36.3,5,14.2,10.3,58.8,7,37.3,0
35.0,57.6,41.8,36.8,59.7,31.9,28.9,45.1,42.1,1,-1.8,13.7,65.8,8,35.4,0
80.4,70.7,51.3,67.6,58.8,90.7,62.7,52.5,66.8,1,-0.8,15.0,59.2,3,77.6,1
13.2,37.8,28.7,36.3,20.0,47.4,34.8,24.6,30.4,5,5.0,7.1,67.2,8,26.7,0
74.5,71.5,87.6,70.3,47.7,55.5,68.7,58.1,66.7,6,16.1,10.8,62.5,3,76.2,1
81.7,82.0,79.2,68.8,84.5,81.9,83.6,74.2,79.5,6,6.0,8.5,83.9,0,96.2,2
